"from","to","weight"
"Joey","Little Girl",1
"Joey","Lorraine",2
"Joey","Luisa",1
"Joey","Lydia",3
"Joey","Mac",1
"Joey","Man",4
"Joey","Margha",2
"Joey","Mary-Angela",1
"Joey","Mary-Theresa",1
"Joey","Matress King",1
"Joey","Max",3
"Joey","Melanie",2
"Joey","Melissa",1
"Joey","Mike",2
"Joey","Mindy",1
"Joey","Minister",1
"Joey","Molly",4
"Joey","Mona",8
"Joey","Monica",490
"Joey","Mr. Bing",1
"Joey","Mr. Bowmont",1
"Joey","Mr. Geller",16
"Joey","Mr. Heckles",2
"Joey","Mr. Thompson",3
"Joey","Mr. Treeger",6
"Joey","Mr. Tribbiani",5
"Joey","Mr. Waltham",1
"Joey","Mr. Zelner",1
"Joey","Mrs. Bing",5
"Joey","Mrs. Geller",15
"Joey","Mrs. Geller ",1
"Joey","Mrs. Tribbiani",1
"Joey","Mrs. Waltham",1
"Joey","Nurse",6
"Joey","Nurse #1",1
"Joey","Nurse #2",1
"Joey","Older Scientist",1
"Joey","Others",1
"Joey","Paolo",2
"Joey","Parker",3
"Joey","Passerby",1
"Joey","Patron",1
"Joey","Paul",4
"Joey","PBS Volunteer",1
"Joey","Pete",4
"Joey","Pete's Mom",1
"Joey","Peter",1
"Joey","Phoebe",470
"Joey","Phoebe Sr.",1
"Joey","Photographer",1
"Joey","Rachel",488
"Joey","Rachel ",1
"Joey","Ray",1
"Joey","Raymond",1
"Joey","Receptionist",2
"Joey","Richard",6
"Joey","Robert",2
"Joey","Roger",2
"Joey","Ronni",3
"Joey","Ross",496
"Joey","Sandy",1
"Joey","Sarah",1
"Joey","Second Girl",1
"Joey","Singer",2
"Joey","Sister 1",1
"Joey","Smart Kid",1
"Joey","Stage Director",2
"Joey","Stanley",1
"Joey","Store Guy",1
"Joey","Stripper",1
"Joey","Student",2
"Joey","Susan",4
"Joey","Tag",9
"Joey","Terry",2
"Joey","The A.D",1
"Joey","The Acting Teacher",1
"Joey","The Assistant Director",2
"Joey","The Casting Director",3
"Joey","The Cooking Teacher",3
"Joey","The Director",11
"Joey","The Doctor",1
"Joey","The Dry Cleaner",3
"Joey","The Fan",1
"Joey","The Food Critic",1
"Joey","The Girls",2
"Joey","The Grip",1
"Joey","The Guys",2
"Joey","The Little Girl",1
"Joey","The Man",1
"Joey","The Man In The Sportscar",1
"Joey","The Old Man",1
"Joey","The Porsche Owner",1
"Joey","The Potential Roommate",2
"Joey","The Presenter",1
"Joey","The Producer",1
"Joey","The Rabbi",1
"Joey","The Security Guard",1
"Joey","The Singing Man",2
"Joey","The Stripper",2
"Joey","The Vampire",1
"Joey","The Waiter",3
"Joey","The Woman",1
"Joey","Tim",1
"Joey","Tony",1
"Joey","Tour Guide",2
"Joey","Uncle Dan",1
"Joey","Ursula",2
"Joey","Vince",1
"Joey","Voice",1
"Joey","Waiter",1
"Joey","Waitress",2
"Joey","Wayne",3
"Joey","Wendy",1
"Joey","Will",2
"Joey","Woman",13
"Joey","Woman No. 1",1
"Joey","Woman No. 2",1
"Joey","Young Ethan",1
"Joey's Co-Star","Kash",1
"Joey's Co-Star","Rachel",1
"Joey's Doctor","Monica",2
"Joey's Doctor","Phoebe",1
"Joey's Doctor","Rachel",1
"Joey's Doctor","Ross",2
"Joey's Hand Twin","Phoebe",1
"Joey's Hand Twin","The Security Guard",1
"Joeys Grandmother","Joeys Sister",1
"Joeys Grandmother","Mary-Angela",1
"Joeys Grandmother","Mary-Theresa",1
"Joeys Sister","Mary-Angela",1
"Joeys Sister","Mary-Theresa",1
"Joeys Sisters","Monica",1
"Joeys Sisters","Phoebe",1
"Joeys Sisters","Rachel",1
"Joeys Sisters","Ross",1
"Joeys Sisters","Sister 1",1
"Josh","Monica",2
"Josh","Phoebe",2
"Josh","Rachel",2
"Josh","Ross",1
"Joshua","Monica",2
"Joshua","Mr. Burgin",2
"Joshua","Mr. Waltham",3
"Joshua","Mrs. Burgin",2
"Joshua","Phoebe",2
"Joshua","Rachel",10
"Joshua","Ross",3
"Judge","Rachel",1
"Judge","Ross",1
"Julie","Man",1
"Julie","Monica",3
"Julie","Phoebe",4
"Julie","Rachel",6
"Julie","Ross",4
"Julio","Man",1
"Julio","Monica",2
"Julio","Quartet",1
"Kara","Monica",3
"Karin","Meg",1
"Karin","Phoebe",1
"Karin","Ross",1
"Karin","Stephanie",1
"Kash","Rachel",2
"Kash","Ross",1
"Kate","Lauren",3
"Kate","The Director",5
"Kate","Woman",1
"Kathy","Kathy's Co-Star",1
"Kathy","Monica",5
"Kathy","Phoebe",4
"Kathy","Rachel",5
"Kathy","Ross",6
"Kathy","Tag",1
"Kathy's Co-Star","Ross",1
"Katie","Monica",1
"Katie","Phoebe",1
"Katie","Rachel",4
"Katie","Ross",3
"Ken","Others",1
"Ken","Wendy",1
"Kid","Monica",1
"Kid","Rachel",1
"Kids","Mona",1
"Kids","Monica",1
"Kids","Phoebe",1
"Kids","Rachel",1
"Kids","Ross",1
"Kids","Ursula",1
"Kiki","Rachel",1
"Kim","Nancy",4
"Kim","Rachel",4
"Kitchen Worker","Monica",1
"Kitchen Worker","The Waiter",1
"Kori","Monica",1
"Kori","Ross",1
"Kori","Tom",1
"Krista","Monica",1
"Krista","Rachel",3
"Kristen","Ross",3
"Kristin","Ross",2
"Kristin","Susan",1
"Kyle","Phoebe",1
"Kyle","Ross",1
"Kyle","Whitney",1
"Larry","Monica",1
"Larry","Phoebe",3
"Lauren","The Director",2
"Lauren","Woman",1
"Leader","Ross",1
"Lecturer","Rachel",1
"Lecturer","Ross",1
"Leslie","Monica",1
"Leslie","Phoebe",4
"Leslie","Singer",1
"Lewis","Morse",1
"Lewis","Ross",2
"Liam","Phoebe",1
"Liam","Ross",2
"Lisa","Monica",1
"Lisa","Richard",1
"Little Girl","Mona",1
"Little Girl","Monica",1
"Little Girl","Mr. Geller",1
"Little Girl","Phoebe",1
"Little Girl","Rachel",1
"Little Girl","Ross",1
"Little Girl","Second Girl",1
"Lizzie","Phoebe",2
"Lowell","Lowell ",1
"Luisa","Monica",1
"Luisa","Mr. Heckles",1
"Luisa","Phoebe",1
"Luisa","Rachel",1
"Luisa","Ross",1
"Luisa","Woman No. 1",1
"Luisa","Woman No. 2",1
"Lydia","Mel",1
"Lydia","Monica",1
"Lydia","Nurse",1
"Lydia","Ross",1
"Mac","Monica",1
"Mac","Phoebe",1
"Mac","Rachel",1
"Mac","Ross",1
"Maitre d'","Monica",1
"Malcom","Phoebe",2
"Male Jeweler","Phoebe",2
"Man","Mark",1
"Man","Monica",3
"Man","Mr. Geller",2
"Man","Mrs. Geller",2
"Man","Parker",2
"Man","Phoebe",3
"Man","Quartet",2
"Man","Rachel",5
"Man","Ray",1
"Man","Ross",5
"Man","The Bass Barber",1
"Man","Uncle Dan",1
"Man","Woman",3
"Man At The Wedding","Ross",1
"Man At The Wedding","Woman At The Wedding",1
"Manny","Mike",1
"Manny","Monica",1
"Manny","Phoebe",1
"Manny","Strange man",1
"Marge","Phoebe",1
"Margha","Monica",2
"Margha","Phoebe",2
"Margha","Rachel",2
"Margha","Ross",2
"Margha","The Guys",1
"Margha","Woman",1
"Mark","Quartet",1
"Mark","Rachel",7
"Mark","Ross",5
"Mark","The Bass Barber",1
"Mark","Woman",1
"Marsha","Ross",1
"Mary-Angela","Mary-Theresa",1
"Matire'd","Monica",1
"Matire'd","Richard",1
"Matress King","Monica",1
"Matress King","Phoebe",1
"Matress King","Ross",1
"Max","Monica",3
"Max","Phoebe",4
"Max","Rachel",3
"Max","Ross",3
"Max","Sandy",1
"Meg","Phoebe",1
"Meg","Ross",1
"Meg","Stephanie",1
"Megan","Monica",2
"Megan","Phoebe",2
"Megan","Rachel",2
"Mel","Ross",1
"Melanie","Monica",1
"Melanie","Phoebe",1
"Melanie","Rachel",1
"Melanie","Ross",1
"Melissa","Monica",1
"Melissa","Phoebe",3
"Melissa","Rachel",5
"Melissa","Ross",1
"Melissa","Tag",1
"Mike","Molly",1
"Mike","Monica",3
"Mike","Phoebe",7
"Mike","Rachel",2
"Mike","Ross",2
"Mike","Strange man",1
"Mindy","Rachel",2
"Minister","Mrs. Geller",1
"Minister","Rachel",1
"Minister","Ross",1
"Molly","Monica",2
"Molly","Phoebe",1
"Molly","Rachel",3
"Molly","Ross",4
"Molly","Woman",1
"Mona","Mona's Date",1
"Mona","Monica",5
"Mona","Mr. Geller",1
"Mona","Mrs. Bing",1
"Mona","Phoebe",5
"Mona","Rachel",5
"Mona","Ross",18
"Mona","Second Girl",1
"Mona","Ursula",2
"Mona's Date","Ross",1
"Monica","Mr. Bing",3
"Monica","Mr. Geller",30
"Monica","Mr. Heckles",3
"Monica","Mr. Treeger",2
"Monica","Mr. Tribbiani",3
"Monica","Mr. Waltham",2
"Monica","Mrs. Bing",6
"Monica","Mrs. Chatracus",1
"Monica","Mrs. Geller",22
"Monica","Mrs. Geller ",1
"Monica","Mrs. Green",5
"Monica","Mrs. Waltham",2
"Monica","Nurse",5
"Monica","Others",1
"Monica","Paolo",2
"Monica","Parker",3
"Monica","Patrick",1
"Monica","Paul",6
"Monica","Paula",2
"Monica","Pete",12
"Monica","Pete's Mom",1
"Monica","Phoebe",549
"Monica","Phoebe Sr",1
"Monica","Photographer",1
"Monica","Rachel",540
"Monica","Rachel ",1
"Monica","Richard",13
"Monica","Richards Date",1
"Monica","Roger",2
"Monica","Ronni",1
"Monica","Ross",432
"Monica","Sandy",1
"Monica","Sebastian",1
"Monica","Second Girl",1
"Monica","Secretary",1
"Monica","Singer",2
"Monica","Sister 1",1
"Monica","Spokeswoman",1
"Monica","Steve",1
"Monica","Strange man",1
"Monica","Stu",1
"Monica","Susan",7
"Monica","Tag",7
"Monica","Teacher",2
"Monica","The Acting Teacher",1
"Monica","The Cigarette Guy",1
"Monica","The Cooking Teacher",3
"Monica","The Croupier",2
"Monica","The Doctor",1
"Monica","The Food Critic",1
"Monica","The Girls",2
"Monica","The Guys",3
"Monica","The Man",2
"Monica","The Museum Official",2
"Monica","The Paramedic",1
"Monica","The Photographer",1
"Monica","The Professor",1
"Monica","The Rabbi",1
"Monica","The Singing Man",1
"Monica","The Teacher",1
"Monica","The Vampire",1
"Monica","The Waiter",2
"Monica","The Woman",1
"Monica","Ticket Agent",1
"Monica","Tim",4
"Monica","Tom",2
"Monica","Uncle Dan",1
"Monica","Ursula",2
"Monica","Vince",1
"Monica","Waiter in Drag",1
"Monica","Waitress",2
"Monica","Wendy",1
"Monica","Will",2
"Monica","Woman",11
"Monica","Woman No. 1",1
"Monica","Woman No. 2",1
"Monica","Young Ethan",3
"Morse","Ross",2
"Mr. Bing","Mr. Geller",3
"Mr. Bing","Mrs. Bing",3
"Mr. Bing","Mrs. Geller",3
"Mr. Bing","Phoebe",3
"Mr. Bing","Rachel",2
"Mr. Bing","Ross",3
"Mr. Bing","The Rabbi",1
"Mr. Bing","Woman",1
"Mr. Bowmont","Phoebe",1
"Mr. Bowmont","Rachel",1
"Mr. Burgin","Mrs. Burgin",2
"Mr. Burgin","Rachel",2
"Mr. Franklin","Ross",1
"Mr. Geller","Mr. Waltham",1
"Mr. Geller","Mrs. Bing",3
"Mr. Geller","Mrs. Geller",20
"Mr. Geller","Mrs. Geller ",1
"Mr. Geller","Mrs. Waltham",1
"Mr. Geller","Nurse",1
"Mr. Geller","Parker",2
"Mr. Geller","Phoebe",18
"Mr. Geller","Rachel",16
"Mr. Geller","Rachel ",1
"Mr. Geller","Ross",27
"Mr. Geller","Second Girl",1
"Mr. Geller","Tag",1
"Mr. Geller","The Doctor",1
"Mr. Geller","The Paramedic",1
"Mr. Geller","The Rabbi",1
"Mr. Geller","Uncle Dan",1
"Mr. Geller","Woman",3
"Mr. Heckles","Phoebe",4
"Mr. Heckles","Rachel",3
"Mr. Heckles","Ross",3
"Mr. Heckles","Woman No. 1",1
"Mr. Heckles","Woman No. 2",1
"Mr. Kaplan","Rachel",1
"Mr. Posner","Mrs. Lynch",1
"Mr. Posner","Rachel",1
"Mr. Simon","Mrs. Potter",1
"Mr. Simon","Phoebe",1
"Mr. Simon","Rick",1
"Mr. Thompson","Phoebe",3
"Mr. Thompson","Rachel",3
"Mr. Treeger","Phoebe",3
"Mr. Treeger","Rachel",2
"Mr. Treeger","Ross",2
"Mr. Tribbiani","Phoebe",2
"Mr. Tribbiani","Rachel",2
"Mr. Tribbiani","Roger",1
"Mr. Tribbiani","Ronni",2
"Mr. Tribbiani","Ross",1
"Mr. Waltham","Mrs. Geller",1
"Mr. Waltham","Mrs. Waltham",2
"Mr. Waltham","Phoebe",1
"Mr. Waltham","Rachel",6
"Mr. Waltham","Ross",2
"Mr. Zelner","Rachel",4
"Mr. Zelner","Tag",1
"Mrs. Bing","Mrs. Geller",3
"Mrs. Bing","Paolo",1
"Mrs. Bing","Phoebe",6
"Mrs. Bing","Rachel",5
"Mrs. Bing","Ross",7
"Mrs. Bing","The Housekeeper",1
"Mrs. Bing","The Rabbi",1
"Mrs. Bing","Woman",1
"Mrs. Burgin","Rachel",2
"Mrs. Chatracus","Rachel",1
"Mrs. Geller","Mrs. Geller ",1
"Mrs. Geller","Mrs. Waltham",1
"Mrs. Geller","Nurse",1
"Mrs. Geller","Parker",2
"Mrs. Geller","Phoebe",15
"Mrs. Geller","Rachel",18
"Mrs. Geller","Rachel ",1
"Mrs. Geller","Ross",21
"Mrs. Geller","Tag",1
"Mrs. Geller","The Doctor",1
"Mrs. Geller","The Paramedic",1
"Mrs. Geller","The Rabbi",1
"Mrs. Geller","Uncle Dan",1
"Mrs. Geller","Woman",3
"Mrs. Geller ","Phoebe",1
"Mrs. Geller ","Rachel",1
"Mrs. Geller ","Rachel ",1
"Mrs. Geller ","Ross",1
"Mrs. Green","Phoebe",5
"Mrs. Green","Rachel",5
"Mrs. Green","Ross",2
"Mrs. Green","Woman",1
"Mrs. Lynch","Rachel",2
"Mrs. Lynch","Sophie",1
"Mrs. Potter","Phoebe",1
"Mrs. Potter","Rick",1
"Mrs. Tedlock","Woman",1
"Mrs. Verhoeven's Daughter","Rachel",1
"Mrs. Verhoeven's Daughter","Ross",2
"Mrs. Waltham","Phoebe",1
"Mrs. Waltham","Rachel",2
"Mrs. Waltham","Ross",2
"Ms. Lambert","Ross",1
"Nancy","Rachel",4
"Nurse","Phoebe",3
"Nurse","Rachel",8
"Nurse","Ross",6
"Nurse","Susan",1
"Nurse #1","Nurse #2",1
"Nurse #1","Terry",1
"Nurse #2","Terry",1
"Older Scientist","Ross",1
"Older Scientist","Tour Guide",1
"Others","Phoebe",1
"Others","Rachel",1
"Others","Ross",1
"Others","Wendy",2
"Paolo","Phoebe",1
"Paolo","Rachel",2
"Paolo","Ross",2
"Parker","Phoebe",4
"Parker","Rachel",3
"Parker","Ross",3
"Parker","Uncle Dan",1
"Parker","Woman",2
"Passerby","Rachel",1
"Passerby","Ross",1
"Patrick","Phoebe",1
"Patrick","Rachel",1
"Paul","Phoebe",4
"Paul","Rachel",16
"Paul","Ross",11
"PBS Volunteer","Phoebe",1
"PBS Volunteer","Stage Director",1
"Pete","Pete's Mom",1
"Pete","Phoebe",4
"Pete","Rachel",3
"Pete","Ross",3
"Pete","Secretary",1
"Pete","Spokeswoman",1
"Pete's Mom","Phoebe",1
"Pete's Mom","Rachel",1
"Pete's Mom","Ross",1
"Peter","Tony",1
"Petrie","Phoebe",1
"Petrie","Santos",1
"Phoebe","Phoebe Sr",2
"Phoebe","Phoebe Sr.",3
"Phoebe","Photographer",2
"Phoebe","Rachel",514
"Phoebe","Rachel ",1
"Phoebe","Rick",2
"Phoebe","Robert",4
"Phoebe","Roger",3
"Phoebe","Ross",441
"Phoebe","Sandy",1
"Phoebe","Santos",1
"Phoebe","Sebastian",1
"Phoebe","Second Girl",1
"Phoebe","Singer",2
"Phoebe","Sister 1",1
"Phoebe","Stage Director",1
"Phoebe","Stephanie",1
"Phoebe","Steve",5
"Phoebe","Strange man",1
"Phoebe","Supervisor",2
"Phoebe","Susan",9
"Phoebe","Tag",10
"Phoebe","Teacher",1
"Phoebe","The ""Hey Guy"" Guy",1
"Phoebe","The Cigarette Guy",1
"Phoebe","The Croupier",1
"Phoebe","The Dry Cleaner",2
"Phoebe","The Fan",1
"Phoebe","The Fireman",1
"Phoebe","The Girls",1
"Phoebe","The Guys",3
"Phoebe","The Lurker",2
"Phoebe","The Man",1
"Phoebe","The Museum Official",1
"Phoebe","The Rabbi",1
"Phoebe","The Security Guard",2
"Phoebe","The Smoking Woman",1
"Phoebe","The Teacher",3
"Phoebe","The Vampire",1
"Phoebe","The Waiter",1
"Phoebe","Tim",4
"Phoebe","Trudie Styler",1
"Phoebe","Uncle Dan",1
"Phoebe","Ursula",6
"Phoebe","Vince",3
"Phoebe","Waiter",1
"Phoebe","Waitress",1
"Phoebe","Wendy",1
"Phoebe","Whitney",2
"Phoebe","Will",2
"Phoebe","Woman",10
"Phoebe","Woman No. 1",1
"Phoebe","Woman No. 2",1
"Phoebe Sr","Rachel",1
"Photographer","Rachel",2
"Photographer","Ross",1
"Policeman","Rachel",2
"Policeman","Ross",2
"Quartet","Rachel",1
"Quartet","Ross",1
"Quartet","The Bass Barber",1
"Rachel","Rachel ",1
"Rachel","Richard",1
"Rachel","Robbie",2
"Rachel","Robert",1
"Rachel","Roger",2
"Rachel","Ronni",1
"Rachel","Ross",539
"Rachel","Russell",1
"Rachel","Sandy",1
"Rachel","Sebastian",1
"Rachel","Second Girl",1
"Rachel","Sister 1",1
"Rachel","Sophie",5
"Rachel","Steve",1
"Rachel","Susan",6
"Rachel","Tag",25
"Rachel","Teacher",1
"Rachel","Terry",1
"Rachel","The Bass Barber",1
"Rachel","The Cigarette Guy",1
"Rachel","The Doctor",1
"Rachel","The Girls",2
"Rachel","The Guys",3
"Rachel","The Museum Official",1
"Rachel","The Paramedic",1
"Rachel","The Presenter",1
"Rachel","The Professor",1
"Rachel","The Rabbi",2
"Rachel","The Salesman",1
"Rachel","The Singing Man",1
"Rachel","The Teacher",2
"Rachel","The Vampire",1
"Rachel","The Woman",1
"Rachel","Tim",1
"Rachel","Tom",1
"Rachel","Uncle Dan",1
"Rachel","Ursula",2
"Rachel","Vince",1
"Rachel","Waiter",2
"Rachel","Waitress",2
"Rachel","Wendy",1
"Rachel","Will",2
"Rachel","Woman",13
"Rachel","Woman No. 1",2
"Rachel","Woman No. 2",2
"Rachel","Young Ethan",1
"Rachel ","Ross",1
"Raymond","Ross",1
"Raymond","The Casting Director",1
"Receptionist","Ross",2
"Richard","Richards Date",1
"Richard","The Assistant Director",2
"Richard","The Director",5
"Richard","Waitress",1
"Robbie","Ross",1
"Robbie","Susan",1
"Robert","Ross",4
"Roger","Ross",2
"Ross","Russell",1
"Ross","Salesman",1
"Ross","Sandy",1
"Ross","Sarah",4
"Ross","Sebastian",1
"Ross","Second Dorm Guy",1
"Ross","Second Girl",1
"Ross","Singer",1
"Ross","Sister 1",1
"Ross","Stephanie",1
"Ross","Steve",3
"Ross","Student",1
"Ross","Susan",22
"Ross","Tag",8
"Ross","The Bass Barber",1
"Ross","The Casting Director",2
"Ross","The Conductor",1
"Ross","The Doctor",2
"Ross","The Girls",1
"Ross","The Guys",2
"Ross","The Hot Girl",1
"Ross","The Little Girl",1
"Ross","The Man",1
"Ross","The Man In The Sportscar",1
"Ross","The Old Man",1
"Ross","The Paramedic",1
"Ross","The Professor",1
"Ross","The Rabbi",1
"Ross","The Salesman",1
"Ross","The Saleswoman",1
"Ross","The Stripper",2
"Ross","The Vampire",1
"Ross","Tim",1
"Ross","Tom",1
"Ross","Tour Guide",2
"Ross","Uncle Dan",1
"Ross","Ursula",2
"Ross","Vince",1
"Ross","Wendy",1
"Ross","Whitney",2
"Ross","Will",2
"Ross","Woman",15
"Ross","Woman At The Wedding",1
"Ross","Woman No. 1",1
"Ross","Woman No. 2",1
"Ross","Woman On Train",1
"Ross","Young Ethan",1
"Ross","Zoe",1
"Sarah","Second Dorm Guy",1
"Sarah","Zoe",1
"Second Dorm Guy","Zoe",1
"Shelley","Shelley ",1
"Stanley","The Grip",1
"Supervisor","The ""Hey Guy"" Guy",1
"Teacher","Woman",1
"The Assistant Director","The Director",2
"The Conductor","Woman On Train",1
"The Cooking Teacher","The Food Critic",1
"The Director","Woman",1
"The Doctor","The Paramedic",1
"The Hot Girl","The Man",1
"The Little Girl","The Old Man",1
"The Lurker","The Security Guard",1
"The Producer","Wayne",1
"Ticket Agent","Woman",1
"Uncle Dan","Woman",1
"Waiter","Waiter No. 2",1
"Waitress","Woman",1
"Woman No. 1","Woman No. 2",2
